qid	slice	region_hint	title_en	year	imdb	sitelinks	reason
Q3222399	africa	BF	Wend Kuuni	1982	tt0084898	9	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q647665	africa	BW	The Gods Must Be Crazy	1980	tt0080801	49	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q28222427	africa	CD	Félicité	2017	tt5980798	28	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q1453226	africa	ET	Teza	2008	tt1284592	16	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q52272990	africa	KE	Rafiki	2018	tt8286894	22	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q1338623	africa	KE	Nairobi Half Life	2012	tt2234428	16	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q48671647	africa	KE	Supa Modo	2018	tt7772412	15	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q2335016	africa	ML	Yeelen	1987	tt0094349	24	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q178070	africa	ML	Bamako	2006	tt0814666	17	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q57312074	africa	NG	Lionheart	2018	tt7707314	19	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q16556678	africa	NG	Half of a Yellow Sun	2014	tt2215077	14	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q124319816	africa	SN	Dahomey	2024	tt31015216	20	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q3211102	africa	SN	Black Girl	1966	tt0060758	19	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q3310901	africa	SN	Touki Bouki	1973	tt0070820	19	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q1131452	africa	SN	Moolaadé	2004	tt0416991	17	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q3144472	africa	SN	Hyènes	1992	tt0104467	17	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q1538018	africa	SN	Xala	1975	tt0073915	14	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q626215	africa	ZA	Tsotsi	2005	tt0468565	41	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q636356	africa	ZA	A Dry White Season	1989	tt0097243	29	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q99372651	africa	ZA	My Octopus Teacher	2020	tt12888462	19	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q2577161	africa	ZA	Sarafina!	1992	tt0105316	18	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q2141815	africa	ZA	U-Carmen eKhayelitsha	2005	tt0445776	18	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q29514875	africa	ZM	I Am Not a Witch	2017	tt6213284	16	Sub-Saharan Africa has zero titles in the current 300 (North Africa only: Egypt, Tunisia, Morocco, Algeria, Sudan) -- a real geographic/cultural gap, not a token gesture.
Q136605	arabgulf	DZ	Z	1969	tt0065234	42	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q1466744	arabgulf	DZ	Days of Glory	2006	tt0444182	25	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q2067859	arabgulf	DZ	The Stranger	1967	tt0062310	24	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q1278929	arabgulf	IQ	Turtles Can Fly	2004	tt0424227	27	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q5306675	arabgulf	IQ	Dreams	2006	tt0854114	6	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q588464	arabgulf	LY	The Message	1976	tt0074896	38	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q61726687	arabgulf	SD	Talking About Trees	2019	tt9658178	8	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q1679822	arabgulf	TN	Outside the Law	2010	tt1229381	20	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q52063157	arabgulf	TN	Dear Son	2018	tt7537960	9	Deepens the existing Arabic slice: Gulf/Sudan/Iraq/Maghreb representation beyond the current Egypt-heavy 105.
Q845235	eastasia_weurope	BA	No Man's Land	2001	tt0283509	46	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q15921236	eastasia_weurope	BE	Two Days, One Night	2014	tt2737050	35	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q2072055	eastasia_weurope	BE	The Kid with a Bike	2011	tt1827512	23	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q665146	eastasia_weurope	CN	Raise the Red Lantern	1991	tt0101640	27	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q13218237	eastasia_weurope	CN	A Touch of Sin	2013	tt2852400	19	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q944984	eastasia_weurope	FI	The Man Without a Past	2002	tt0311519	32	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q11648811	eastasia_weurope	FR	Blue Is the Warmest Colour	2013	tt2278871	50	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q818710	eastasia_weurope	GR	Zorba the Greek	1964	tt0057831	48	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q1075918	eastasia_weurope	GR	Dogtooth	2009	tt1379182	31	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q30612427	eastasia_weurope	GR	Suntan	2016	tt3954660	7	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q258647	eastasia_weurope	IT	Il Postino: The Postman	1994	tt0110877	45	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q710745	eastasia_weurope	TW	A Brighter Summer Day	1991	tt0101985	19	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q708945	eastasia_weurope	TW	Three Times	2005	tt0459666	15	Mainland Chinese, Taiwanese and several Western European national cinemas are thin or absent (mainland China 1, no Greece/Belgium/Netherlands/Finland).
Q738526	eeurope	CZ	Closely Watched Trains	1966	tt0060802	45	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q595196	eeurope	CZ	The Shop on Main Street	1965	tt0059527	44	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q1141186	eeurope	CZ	Kolya	1997	tt0116790	40	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q80227	eeurope	GE	Repentance	1984	tt0093754	27	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q17592291	eeurope	GE	Corn Island	2014	tt1863192	18	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q28532723	eeurope	GE	My Happy Family	2017	tt5791536	9	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q314418	eeurope	HU	Mephisto	1981	tt0082736	37	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q53481	eeurope	HU	Sátántangó	1994	tt0111341	24	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q509169	eeurope	HU	Werckmeister Harmonies	2000	tt0249241	16	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q733059	eeurope	KZ	Mongol	2007	tt0416044	44	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q584029	eeurope	KZ	Tulpan	2008	tt0436854	11	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q5104640	eeurope	KZ	Harmony Lessons	2013	tt2385101	11	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q150804	eeurope	PL	The Pianist	2002	tt0253474	78	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q714713	eeurope	PL	Katyń	2007	tt0879843	45	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q115993222	eeurope	PL	The Zone of Interest	2023	tt7160372	43	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q932814	eeurope	PL	Three Colours: Blue	1993	tt0108394	42	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q952142	eeurope	PL	Three Colours: Red	1994	tt0111495	42	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q51834363	eeurope	PL	Cold War	2018	tt6543652	39	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q722281	eeurope	PL	Ashes and Diamonds	1958	tt0052080	36	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q1195506	eeurope	PL	Man of Marble	1977	tt0075902	27	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q238245	eeurope	RO	4 Months, 3 Weeks and 2 Days	2007	tt1032846	44	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q23762934	eeurope	RO	Graduation	2016	tt4936450	22	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q1197442	eeurope	RO	The Death of Mr. Lazarescu	2005	tt0456149	21	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
