# Demo catalog — curated list (docs/DEMO_DATA_PLAN_2026-09-03.md WS1, 300 titles).
# Columns: slice (ar|en|other) · region (ISO 3166-1 alpha-2 of the film's home country) · tier (popular|mid|niche, editorial judgment)
#          · year (expected release year, checked against Wikidata ±1) · titleEn (working English title) · wiki (lang:Wikipedia_page_title used to resolve the Wikidata item)
#          · titleAr (optional manual override when Wikidata has no Arabic label)
#          · genres (optional manual override, comma-separated, when Wikidata has no P136 genre)
# internalId is explicit (last column) and permanently reserved in catalog.demo.identity.json; row order has no identity meaning.
# Not in this list on purpose: the 15 FILM fixtures in seed.ts (Arrival, Inception, The Grand Budapest Hotel, Parasite, Spirited Away,
# Mad Max: Fury Road, Moonlight, The Matrix, The Handmaiden, Paddington 2, Blade Runner 2049, Whiplash, Pan's Labyrinth, Before Sunrise, Get Out).
slice	region	tier	year	titleEn	wiki	titleAr	genres	internalId
# ---- Arabic-language: Egypt (42) ----
ar	EG	popular	1958	Cairo Station	en:Cairo_Station			DEMO0001
ar	EG	mid	1969	The Night of Counting the Years	en:The_Night_of_Counting_the_Years			DEMO0002
ar	EG	mid	1970	The Land	en:The_Land_(1969_film)			DEMO0003
ar	EG	mid	1959	The Nightingale's Prayer	en:The_Nightingale's_Prayer			DEMO0004
ar	EG	niche	1965	The Sin	en:The_Sin_(1965_film)			DEMO0005
ar	EG	niche	1960	Beginning and End	en:The_Beginning_and_the_End_(1960_film)			DEMO0006
ar	EG	niche	1970	The Choice	en:The_Choice_(1970_film)			DEMO0007
ar	EG	mid	1979	Alexandria... Why?	en:Alexandria..._Why?			DEMO0008
ar	EG	niche	1968	The Postman	ar:البوسطجي_(فيلم)		Drama	DEMO0009
ar	EG	popular	1972	Watch Out for Zouzou	en:Watch_Out_for_ZouZou		Musical, Romance, Comedy	DEMO0010
ar	EG	popular	1966	My Wife, the Director General	en:My_Wife,_the_Director_General			DEMO0011
ar	EG	mid	1982	The Bus Driver	ar:سواق_الأتوبيس_(فيلم)			DEMO0012
ar	EG	mid	1986	The Innocent	en:The_Innocent_(1986_film)			DEMO0013
ar	EG	popular	1992	Terrorism and Kebab	en:Terrorism_and_Kebab			DEMO0014
ar	EG	popular	2006	The Yacoubian Building	en:The_Yacoubian_Building_(film)			DEMO0015
ar	EG	mid	1991	Kit Kat	en:Kit_Kat_(film)			DEMO0016
ar	EG	mid	1962	The Thief and the Dogs	ar:اللص_والكلاب_(فيلم)		Crime, Drama	DEMO0017
ar	EG	mid	1954	Struggle in the Valley	en:Struggle_in_the_Valley			DEMO0018
ar	EG	niche	1988	Dreams of Hind and Camelia	ar:أحلام_هند_وكاميليا			DEMO0019
ar	EG	popular	1949	The Flirtation of Girls	en:The_Flirtation_of_Girls			DEMO0020
ar	EG	popular	1955	Ismail Yassine in the Army	ar:إسماعيل_يس_في_الجيش_(فلم)			DEMO0021
ar	EG	mid	1994	The Emigrant	en:The_Emigrant_(1994_film)			DEMO0022
ar	EG	mid	1997	Destiny	en:Destiny_(1997_film)			DEMO0023
ar	EG	popular	2003	Sleepless Nights	en:Sleepless_Nights_(2003_film)		Drama, Romance	DEMO0024
ar	EG	popular	2007	The Island	en:The_Island_(2007_film)			DEMO0025
ar	EG	mid	2010	Microphone	en:Microphone_(film)			DEMO0026
ar	EG	mid	2010	Cairo 678	en:678_(film)			DEMO0027
ar	EG	mid	2016	Clash	en:Clash_(2016_film)			DEMO0028
ar	EG	niche	2021	Feathers	en:Feathers_(2021_film)			DEMO0029
ar	EG	niche	2021	Souad	en:Souad_(film)			DEMO0030
ar	EG	mid	2018	Yomeddine	en:Yomeddine			DEMO0031
ar	EG	popular	2014	Excuse My French	en:Excuse_My_French_(film)			DEMO0032
ar	EG	popular	2014	The Blue Elephant	en:The_Blue_Elephant			DEMO0033
ar	EG	popular	2022	Kira & El Gin	ar:كيرة_والجن			DEMO0034
ar	EG	popular	2016	Hepta: The Last Lecture	en:Hepta:_The_Last_Lecture			DEMO0035
ar	EG	popular	2015	Sons of Rizk	en:Sons_of_Rizk			DEMO0036
ar	EG	popular	2004	Tito	en:Tito_(2004_film)			DEMO0037
ar	EG	popular	2002	El Lemby	en:El-Limby			DEMO0038
ar	EG	mid	2017	The Nile Hilton Incident	en:The_Nile_Hilton_Incident			DEMO0039
ar	EG	niche	2018	Poisonous Roses	en:Poisonous_Roses			DEMO0040
ar	EG	niche	1971	Adrift on the Nile	en:Adrift_on_the_Nile_(film)			DEMO0041
ar	EG	mid	1975	Al-Karnak	en:Karnak_(film)			DEMO0042
# ---- Arabic-language: Levant (24) ----
ar	LB	popular	2018	Capernaum	en:Capernaum_(film)			DEMO0043
ar	LB	popular	2011	Where Do We Go Now?	en:Where_Do_We_Go_Now?			DEMO0044
ar	LB	popular	2007	Caramel	en:Caramel_(film)			DEMO0045
ar	LB	mid	1998	West Beirut	en:West_Beirut_(film)			DEMO0046
ar	LB	mid	2017	The Insult	en:The_Insult_(film)			DEMO0047
ar	LB	niche	2021	Costa Brava, Lebanon	en:Costa_Brava,_Lebanon			DEMO0048
ar	LB	niche	2019	1982	en:1982_(2019_film)			DEMO0049
ar	LB	niche	2021	Memory Box	en:Memory_Box_(film)			DEMO0050
ar	PS	mid	2017	Wajib	en:Wajib_(film)		Drama	DEMO0051
ar	PS	mid	2013	Omar	en:Omar_(2013_film)			DEMO0052
ar	PS	mid	2005	Paradise Now	en:Paradise_Now			DEMO0053
ar	PS	niche	2009	The Time That Remains	en:The_Time_That_Remains			DEMO0054
ar	PS	niche	2002	Divine Intervention	en:Divine_Intervention_(2002_film)			DEMO0055
ar	PS	mid	2019	It Must Be Heaven	en:It_Must_Be_Heaven			DEMO0056
ar	PS	niche	1987	Wedding in Galilee	en:Wedding_in_Galilee			DEMO0057
ar	PS	niche	2008	Salt of This Sea	en:Salt_of_This_Sea			DEMO0058
ar	PS	mid	2020	200 Meters	en:200_Meters_(film)		Drama, Thriller	DEMO0059
ar	JO	popular	2021	Farha	en:Farha_(film)			DEMO0060
ar	JO	popular	2014	Theeb	en:Theeb			DEMO0061
ar	SY	niche	1972	The Dupes	en:The_Dupes			DEMO0062
ar	SY	niche	1993	The Extras	ar:الكومبارس_(فيلم)		Drama	DEMO0063
ar	LB	popular	2005	Bosta	en:Bosta_(film)			DEMO0064
ar	PS	niche	2020	Gaza Mon Amour	en:Gaza_Mon_Amour			DEMO0065
ar	PS	niche	2021	Huda's Salon	en:Huda's_Salon			DEMO0066
# ---- Arabic-language: Maghreb (17) ----
ar	TN	mid	1990	Halfaouine: Boy of the Terraces	ar:عصفور_السطح_(فلم)		Comedy, Drama, Coming-of-Age	DEMO0067
ar	TN	mid	1994	The Silences of the Palace	en:The_Silences_of_the_Palace			DEMO0068
ar	TN	niche	2016	Hedi	en:Hedi_(film)			DEMO0069
ar	TN	mid	2017	Beauty and the Dogs	en:Beauty_and_the_Dogs			DEMO0070
ar	TN	mid	2020	The Man Who Sold His Skin	en:The_Man_Who_Sold_His_Skin			DEMO0071
ar	TN	mid	2023	Four Daughters	en:Four_Daughters_(2023_film)			DEMO0072
ar	MA	mid	2000	Ali Zaoua: Prince of the Streets	en:Ali_Zaoua			DEMO0073
ar	MA	mid	2012	Horses of God	en:Horses_of_God			DEMO0074
ar	MA	niche	2015	Much Loved	en:Much_Loved			DEMO0075
ar	MA	niche	2019	Adam	en:Adam_(2019_Moroccan_film)			DEMO0076
ar	MA	mid	2022	The Blue Caftan	en:The_Blue_Caftan			DEMO0077
ar	MA	niche	2021	Casablanca Beats	en:Casablanca_Beats			DEMO0078
ar	DZ	popular	1966	The Battle of Algiers	en:The_Battle_of_Algiers			DEMO0079
ar	DZ	niche	1975	Chronicle of the Years of Fire	en:Chronicle_of_the_Years_of_Fire			DEMO0080
ar	DZ	mid	2019	Papicha	en:Papicha			DEMO0081
ar	DZ	niche	1976	Omar Gatlato	en:Omar_Gatlato			DEMO0082
ar	MR	mid	2014	Timbuktu	en:Timbuktu_(2014_film)			DEMO0083
# ---- Arabic-language: Gulf (18) ----
ar	SA	popular	2012	Wadjda	en:Wadjda			DEMO0084
ar	SA	mid	2016	Barakah Meets Barakah	en:Barakah_Meets_Barakah			DEMO0085
ar	SA	mid	2019	The Perfect Candidate	en:The_Perfect_Candidate			DEMO0086
ar	SA	niche	2019	Scales	en:Scales_(film)			DEMO0087
ar	SA	niche	2020	The Book of Sun	en:Shams_Al-Ma'arif_(film)			DEMO0088
ar	SA	popular	2022	Sattar	ar:سطار_(فيلم)		Comedy, Sport	DEMO0089
ar	SA	popular	2023	Alkhallat+	ar:الخلاط+			DEMO0090
ar	SA	mid	2023	Hajjan	en:Hajjan			DEMO0091
ar	SA	mid	2023	Norah	en:Norah_(film)		Drama	DEMO0092
ar	SA	popular	2023	Mandoob	en:Mandoob			DEMO0093
ar	SA	mid	2023	Naga	ar:ناقة_(فلم)		Thriller, Drama	DEMO0094
ar	AE	mid	2009	City of Life	en:City_of_Life			DEMO0095
ar	AE	niche	2011	Sea Shadow	en:Sea_Shadow_(film)		Drama, Coming-of-Age	DEMO0096
ar	AE	mid	2015	Zinzana	en:Zinzana			DEMO0097
ar	AE	mid	2014	From A to B	en:From_A_to_B_(film)			DEMO0098
ar	KW	niche	1972	The Cruel Sea	en:The_Cruel_Sea_(1972_film)			DEMO0099
ar	KW	niche	1976	The Wedding of Zein	en:The_Wedding_of_Zein_(film)			DEMO0100
ar	BH	niche	2006	A Bahraini Tale	en:A_Bahraini_Tale			DEMO0101
# ---- Arabic-language: Sudan, Yemen, Iraq (4) ----
ar	SD	mid	2019	You Will Die at Twenty	en:You_Will_Die_at_Twenty			DEMO0102
ar	SD	mid	2023	Goodbye Julia	en:Goodbye_Julia			DEMO0103
ar	YE	niche	2014	I Am Nojoom, Age 10 and Divorced	en:I_Am_Nojoom,_Age_10_and_Divorced		Drama	DEMO0104
ar	IQ	niche	2009	Son of Babylon	en:Son_of_Babylon			DEMO0105
# ---- English-language: popular (48) ----
en	US	popular	1942	Casablanca	en:Casablanca_(film)			DEMO0106
en	US	popular	1972	The Godfather	en:The_Godfather			DEMO0107
en	US	popular	1975	Jaws	en:Jaws_(film)			DEMO0108
en	US	popular	1977	Star Wars	en:Star_Wars_(film)			DEMO0109
en	US	popular	1982	E.T. the Extra-Terrestrial	en:E.T._the_Extra-Terrestrial			DEMO0110
en	US	popular	1985	Back to the Future	en:Back_to_the_Future			DEMO0111
en	US	popular	1988	Die Hard	en:Die_Hard			DEMO0112
en	US	popular	1990	Home Alone	en:Home_Alone			DEMO0113
en	US	popular	1993	Jurassic Park	en:Jurassic_Park_(film)			DEMO0114
en	US	popular	1994	The Lion King	en:The_Lion_King			DEMO0115
en	US	popular	1994	Forrest Gump	en:Forrest_Gump			DEMO0116
en	US	popular	1994	The Shawshank Redemption	en:The_Shawshank_Redemption			DEMO0117
en	US	popular	1994	Pulp Fiction	en:Pulp_Fiction			DEMO0118
en	US	popular	1995	Toy Story	en:Toy_Story			DEMO0119
en	US	popular	1997	Titanic	en:Titanic_(1997_film)			DEMO0120
en	US	popular	1999	Fight Club	en:Fight_Club			DEMO0121
en	US	popular	1999	The Sixth Sense	en:The_Sixth_Sense			DEMO0122
en	US	popular	2000	Gladiator	en:Gladiator_(2000_film)			DEMO0123
en	NZ	popular	2001	The Lord of the Rings: The Fellowship of the Ring	en:The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring			DEMO0124
en	US	popular	2001	Shrek	en:Shrek			DEMO0125
en	US	popular	2003	Finding Nemo	en:Finding_Nemo			DEMO0126
en	US	popular	2003	Pirates of the Caribbean: The Curse of the Black Pearl	en:Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl			DEMO0127
en	US	popular	2004	Mean Girls	en:Mean_Girls			DEMO0128
en	US	popular	2006	The Devil Wears Prada	en:The_Devil_Wears_Prada_(film)			DEMO0129
en	US	popular	2008	The Dark Knight	en:The_Dark_Knight			DEMO0130
en	US	popular	2008	WALL-E	en:WALL-E			DEMO0131
en	US	popular	2009	Up	en:Up_(2009_film)			DEMO0132
en	US	popular	2009	Avatar	en:Avatar_(2009_film)			DEMO0133
en	US	popular	2009	The Hangover	en:The_Hangover			DEMO0134
en	US	popular	2012	The Avengers	en:The_Avengers_(2012_film)			DEMO0135
en	US	popular	2013	Frozen	en:Frozen_(2013_film)			DEMO0136
en	US	popular	2014	Interstellar	en:Interstellar_(film)			DEMO0137
en	US	popular	2014	Guardians of the Galaxy	en:Guardians_of_the_Galaxy_(film)			DEMO0138
en	US	popular	2014	John Wick	en:John_Wick_(film)			DEMO0139
en	US	popular	2016	La La Land	en:La_La_Land			DEMO0140
en	US	popular	2016	Deadpool	en:Deadpool_(film)			DEMO0141
en	US	popular	2017	Coco	en:Coco_(2017_film)			DEMO0142
en	US	popular	2018	Black Panther	en:Black_Panther_(film)			DEMO0143
en	US	popular	2018	A Quiet Place	en:A_Quiet_Place			DEMO0144
en	GB	popular	2018	Bohemian Rhapsody	en:Bohemian_Rhapsody_(film)			DEMO0145
en	US	popular	2019	Avengers: Endgame	en:Avengers:_Endgame			DEMO0146
en	US	popular	2019	Joker	en:Joker_(2019_film)			DEMO0147
en	US	popular	2019	Knives Out	en:Knives_Out			DEMO0148
en	US	popular	2021	Dune	en:Dune_(2021_film)			DEMO0149
en	US	popular	2022	Top Gun: Maverick	en:Top_Gun:_Maverick			DEMO0150
en	US	popular	2022	Everything Everywhere All at Once	en:Everything_Everywhere_All_at_Once			DEMO0151
en	US	popular	2023	Oppenheimer	en:Oppenheimer_(film)			DEMO0152
en	US	popular	2023	Barbie	en:Barbie_(film)			DEMO0153
# ---- English-language: mid (48) ----
en	US	mid	1941	Citizen Kane	en:Citizen_Kane			DEMO0154
en	US	mid	1957	12 Angry Men	en:12_Angry_Men_(1957_film)			DEMO0155
en	US	mid	1958	Vertigo	en:Vertigo_(film)			DEMO0156
en	US	mid	1960	Psycho	en:Psycho_(1960_film)			DEMO0157
en	US	mid	1959	Some Like It Hot	en:Some_Like_It_Hot			DEMO0158
en	US	mid	1952	Singin' in the Rain	en:Singin'_in_the_Rain			DEMO0159
en	GB	mid	1962	Lawrence of Arabia	en:Lawrence_of_Arabia_(film)			DEMO0160
en	US	mid	1968	2001: A Space Odyssey	en:2001:_A_Space_Odyssey_(film)			DEMO0161
en	US	mid	1974	Chinatown	en:Chinatown_(1974_film)			DEMO0162
en	US	mid	1976	Taxi Driver	en:Taxi_Driver			DEMO0163
en	US	mid	1979	Alien	en:Alien_(film)			DEMO0164
en	US	mid	1979	Apocalypse Now	en:Apocalypse_Now			DEMO0165
en	US	mid	1982	Blade Runner	en:Blade_Runner			DEMO0166
en	US	mid	1989	Do the Right Thing	en:Do_the_Right_Thing			DEMO0167
en	US	mid	1990	Goodfellas	en:Goodfellas			DEMO0168
en	US	mid	1991	The Silence of the Lambs	en:The_Silence_of_the_Lambs_(film)			DEMO0169
en	US	mid	1993	Groundhog Day	en:Groundhog_Day_(film)			DEMO0170
en	US	mid	1995	Se7en	en:Seven_(1995_film)			DEMO0171
en	US	mid	1996	Fargo	en:Fargo_(1996_film)			DEMO0172
en	GB	mid	1996	Trainspotting	en:Trainspotting_(film)			DEMO0173
en	US	mid	1998	The Big Lebowski	en:The_Big_Lebowski			DEMO0174
en	US	mid	1998	The Truman Show	en:The_Truman_Show			DEMO0175
en	US	mid	2000	Memento	en:Memento_(film)			DEMO0176
en	US	mid	2001	Mulholland Drive	en:Mulholland_Drive_(film)			DEMO0177
en	US	mid	2003	Lost in Translation	en:Lost_in_Translation_(film)			DEMO0178
en	US	mid	2004	Eternal Sunshine of the Spotless Mind	en:Eternal_Sunshine_of_the_Spotless_Mind			DEMO0179
en	GB	mid	2004	Shaun of the Dead	en:Shaun_of_the_Dead			DEMO0180
en	US	mid	2005	Brokeback Mountain	en:Brokeback_Mountain			DEMO0181
en	GB	mid	2006	Children of Men	en:Children_of_Men			DEMO0182
en	US	mid	2006	The Departed	en:The_Departed			DEMO0183
en	US	mid	2006	The Prestige	en:The_Prestige_(film)			DEMO0184
en	US	mid	2007	No Country for Old Men	en:No_Country_for_Old_Men_(film)			DEMO0185
